"region";"kjønn";"alder";"år";"statistikkvariabel";"13600: Framskrevet folkemengde 1. januar, etter region, kjønn, alder, år og statistikkvariabel"
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2028";"Hovedalternativet (MMMM)";172486
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2029";"Hovedalternativet (MMMM)";170213
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2030";"Hovedalternativet (MMMM)";167712
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2031";"Hovedalternativet (MMMM)";165754
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2032";"Hovedalternativet (MMMM)";164676
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2033";"Hovedalternativet (MMMM)";162649
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2034";"Hovedalternativet (MMMM)";160975
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2035";"Hovedalternativet (MMMM)";158796
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2036";"Hovedalternativet (MMMM)";155817
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2037";"Hovedalternativet (MMMM)";154334
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2038";"Hovedalternativet (MMMM)";153134
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2039";"Hovedalternativet (MMMM)";152514
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2040";"Hovedalternativet (MMMM)";152034
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2041";"Hovedalternativet (MMMM)";152574
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2042";"Hovedalternativet (MMMM)";151746
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2043";"Hovedalternativet (MMMM)";152017
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2044";"Hovedalternativet (MMMM)";152745
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2045";"Hovedalternativet (MMMM)";153785
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2046";"Hovedalternativet (MMMM)";154920
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2047";"Hovedalternativet (MMMM)";155990
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2048";"Hovedalternativet (MMMM)";157057
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2049";"Hovedalternativet (MMMM)";158114
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2050";"Hovedalternativet (MMMM)";159258
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2022";"Hovedalternativet (MMMM)";173205
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2023";"Hovedalternativet (MMMM)";171571
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2024";"Hovedalternativet (MMMM)";170708
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2025";"Hovedalternativet (MMMM)";168856
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2026";"Hovedalternativet (MMMM)";167158
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2027";"Hovedalternativet (MMMM)";168087
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2028";"Hovedalternativet (MMMM)";169848
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2029";"Hovedalternativet (MMMM)";171987
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2030";"Hovedalternativet (MMMM)";174155
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2031";"Hovedalternativet (MMMM)";175844
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2032";"Hovedalternativet (MMMM)";175843
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2033";"Hovedalternativet (MMMM)";175629
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2034";"Hovedalternativet (MMMM)";173409
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2035";"Hovedalternativet (MMMM)";170988
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2036";"Hovedalternativet (MMMM)";169042
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2037";"Hovedalternativet (MMMM)";167982
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2038";"Hovedalternativet (MMMM)";165989
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2039";"Hovedalternativet (MMMM)";164309
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2040";"Hovedalternativet (MMMM)";162194
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2041";"Hovedalternativet (MMMM)";159241
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2042";"Hovedalternativet (MMMM)";157781
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2043";"Hovedalternativet (MMMM)";156650
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2044";"Hovedalternativet (MMMM)";155956
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2045";"Hovedalternativet (MMMM)";155469
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2046";"Hovedalternativet (MMMM)";155973
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2047";"Hovedalternativet (MMMM)";155165
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2048";"Hovedalternativet (MMMM)";155404
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2049";"Hovedalternativet (MMMM)";156066
"0 Hele landet";"1 Menn";"F20-24 20-24 år";"2050";"Hovedalternativet (MMMM)";157055
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2022";"Hovedalternativet (MMMM)";188509
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2023";"Hovedalternativet (MMMM)";189200
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2024";"Hovedalternativet (MMMM)";188708
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2025";"Hovedalternativet (MMMM)";187656
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2026";"Hovedalternativet (MMMM)";186246
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2027";"Hovedalternativet (MMMM)";183219
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2028";"Hovedalternativet (MMMM)";180050
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2029";"Hovedalternativet (MMMM)";178470
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2030";"Hovedalternativet (MMMM)";176827
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2031";"Hovedalternativet (MMMM)";175212
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2032";"Hovedalternativet (MMMM)";176078
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2033";"Hovedalternativet (MMMM)";177667
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2034";"Hovedalternativet (MMMM)";179547
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2035";"Hovedalternativet (MMMM)";181512
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2036";"Hovedalternativet (MMMM)";183012
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2037";"Hovedalternativet (MMMM)";182901
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2038";"Hovedalternativet (MMMM)";182568
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2039";"Hovedalternativet (MMMM)";180321
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2040";"Hovedalternativet (MMMM)";177963
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2041";"Hovedalternativet (MMMM)";176090
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2042";"Hovedalternativet (MMMM)";175019
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2043";"Hovedalternativet (MMMM)";173027
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2044";"Hovedalternativet (MMMM)";171390
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2045";"Hovedalternativet (MMMM)";169283
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2046";"Hovedalternativet (MMMM)";166433
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2047";"Hovedalternativet (MMMM)";165014
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2048";"Hovedalternativet (MMMM)";163832
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2049";"Hovedalternativet (MMMM)";163141
"0 Hele landet";"1 Menn";"F25-29 25-29 år";"2050";"Hovedalternativet (MMMM)";162613
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2022";"Hovedalternativet (MMMM)";196942
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2023";"Hovedalternativet (MMMM)";200638
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2024";"Hovedalternativet (MMMM)";200806
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2025";"Hovedalternativet (MMMM)";199504
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2026";"Hovedalternativet (MMMM)";198005
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2027";"Hovedalternativet (MMMM)";196929
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2028";"Hovedalternativet (MMMM)";195404
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2029";"Hovedalternativet (MMMM)";193927
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2030";"Hovedalternativet (MMMM)";193070
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2031";"Hovedalternativet (MMMM)";191830
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2032";"Hovedalternativet (MMMM)";188965
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2033";"Hovedalternativet (MMMM)";185965
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2034";"Hovedalternativet (MMMM)";184419
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2035";"Hovedalternativet (MMMM)";182771
